,Precinct,OfnsDesc,CrimeCount
197,9,DISORDERLY CONDUCT,24
198,9,ALCOHOLIC BEVERAGE CONTROL LAW,1
199,9,ASSAULT 3 & RELATED OFFENSES,382
200,9,OTHER TRAFFIC INFRACTION,125
201,9,OTHER STATE LAWS (NON PENAL LA,9
202,9,CRIMINAL TRESPASS,259
203,9,GRAND LARCENY,113
204,9,FORCIBLE TOUCHING,6
205,9,VEHICLE AND TRAFFIC LAWS,24
206,9,CHILD ABANDONMENT/NON SUPPORT 1,1
207,9,OTHER STATE LAWS (NON PENAL LAW),208
208,9,LOITERING FOR DRUG PURPOSES,3
209,9,POSSESSION OF STOLEN PROPERTY 5,573
210,9,MISCELLANEOUS PENAL LAW,90
211,9,INTOXICATED & IMPAIRED DRIVING,91
212,9,HARRASSMENT 2,3
213,9,HARASSMENT,18
214,9,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,42
215,9,RAPE,4
216,9,POSSESSION OF STOLEN PROPERTY,20
217,9,MURDER & NON-NEGL. MANSLAUGHTER,7
218,9,PETIT LARCENY,96
219,9,INTOXICATED/IMPAIRED DRIVING,10
220,9,LOITERING,1
221,9,MOVING INFRACTIONS,5
222,9,FRAUDS,10
223,9,SEX CRIMES,8
224,9,THEFT-FRAUD,7
225,9,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),12
226,9,FRAUDULENT ACCOSTING,1
227,9,OFFENSES INVOLVING FRAUD,20
228,9,DANGEROUS DRUGS,1034
229,9,ROBBERY,79
230,9,FELONY ASSAULT,110
231,9,KIDNAPPING & RELATED OFFENSES,2
232,9,ANTICIPATORY OFFENSES,2
233,9,F.C.A. P.I.N.O.S.,3
234,9,OTHER STATE LAWS,229
235,9,CRIMINAL MISCHIEF & RELATED OFFENSES,183
236,9,OFFENSES AGAINST PUBLIC ADMINISTRATION,108
237,10,ARSON,1
238,10,KIDNAPPING & RELATED OFFENSES,1
239,10,BURGLARY,21
240,10,PROSTITUTION & RELATED OFFENSES,6
241,10,FRAUDS,10
242,10,CRIMINAL TRESPASS,152
243,10,OFFENSES AGAINST THE PERSON,13
244,10,OFFENSES INVOLVING FRAUD,17
245,10,GRAND LARCENY OF MOTOR VEHICLE,4
246,10,BURGLAR'S TOOLS,4
247,10,VEHICLE AND TRAFFIC LAWS,219
248,10,F.C.A. P.I.N.O.S.,135
249,10,POSSESSION OF STOLEN PROPERTY,14
250,10,DANGEROUS WEAPONS,56
251,10,POSSESSION OF STOLEN PROPERTY 5,149
252,10,THEFT-FRAUD,6
253,10,MOVING INFRACTIONS,13
254,10,OTHER TRAFFIC INFRACTION,272
255,10,FRAUDULENT ACCOSTING,1
256,10,OTHER OFFENSES RELATED TO THEFT,127
257,10,GRAND LARCENY,99
