Precinct,AgeGroup,PerpSex,CrimeCount
94,65+,M,15
94,45-64,M,118
94,18-24,F,21
100,25-44,F,103
100,65+,F,7
100,65+,M,8
100,18-24,F,39
100,<18,M,72
100,<18,F,6
100,18-24,M,130
100,45-64,M,157
100,45-64,F,17
100,25-44,M,342
101,25-44,F,187
101,<18,M,77
101,18-24,F,75
101,65+,F,1
101,<18,F,5
101,18-24,M,286
101,25-44,M,633
101,45-64,M,228
101,65+,M,20
101,45-64,F,47
102,18-24,M,395
102,65+,M,17
102,18-24,F,53
102,25-44,M,891
102,45-64,F,35
102,65+,F,3
102,25-44,F,146
102,<18,M,63
102,45-64,M,319
102,<18,F,12
103,45-64,F,64
103,18-24,F,102
103,25-44,M,1423
103,<18,F,12
103,<18,M,98
103,18-24,M,481
103,25-44,F,270
103,65+,M,35
103,45-64,M,508
104,18-24,F,71
104,45-64,F,68
104,18-24,M,272
104,25-44,F,213
104,65+,F,6
104,<18,M,40
104,65+,M,22
104,<18,F,15
104,25-44,M,856
104,45-64,M,338
105,25-44,M,949
105,65+,M,25
105,<18,F,17
105,25-44,F,261
105,45-64,M,304
105,45-64,F,40
105,<18,M,75
105,18-24,F,72
105,65+,F,9
105,18-24,M,329
106,18-24,F,52
106,65+,M,24
106,65+,F,6
106,18-24,M,297
106,45-64,F,47
106,25-44,F,153
106,<18,F,13
106,45-64,M,316
106,25-44,M,743
106,<18,M,84
107,65+,M,19
107,18-24,M,253
107,45-64,M,169
107,25-44,F,135
107,25-44,M,616
107,<18,F,11
107,18-24,F,43
107,45-64,F,28
107,<18,M,60
108,65+,F,2
108,25-44,M,499
108,<18,F,1
108,65+,M,12
108,45-64,F,22
108,<18,M,18
108,45-64,M,167
108,25-44,F,78
108,18-24,F,28
108,18-24,M,170
109,<18,F,6
109,65+,F,7
109,45-64,F,96
109,18-24,F,74
109,25-44,F,197
109,65+,M,42
109,18-24,M,341
109,45-64,M,472
109,<18,M,62
109,25-44,M,943
110,<18,F,6
