,Precinct,AgeGroup,PerpSex,CrimeCount
491,73,65+,M,50
492,73,65+,F,5
493,73,314,M,1
494,73,45-64,F,309
495,73,18-24,M,2464
496,73,<18,F,154
497,73,25-44,F,906
498,73,45-64,M,1726
499,73,<18,M,838
500,73,18-24,F,393
501,75,200,M,1
502,75,25-44,F,1142
503,75,45-64,M,1597
504,75,<18,M,1145
505,75,18-24,M,3112
506,75,65+,F,7
507,75,18-24,F,628
508,75,25-44,M,4928
509,75,65+,M,40
510,75,951,M,1
511,75,45-64,F,282
512,75,<18,F,202
513,76,65+,F,1
514,76,65+,M,16
515,76,18-24,M,410
516,76,18-24,F,62
517,76,45-64,M,394
518,76,45-64,F,74
519,76,943,M,1
520,76,<18,F,35
521,76,25-44,F,201
522,76,25-44,M,946
523,76,<18,M,184
524,77,18-24,M,1285
525,77,45-64,M,1239
526,77,<18,M,494
527,77,65+,F,5
528,77,18-24,F,150
529,77,45-64,F,219
530,77,25-44,F,534
531,77,<18,F,96
532,77,25-44,M,2357
533,77,65+,M,35
534,78,65+,M,12
535,78,18-24,F,67
536,78,25-44,F,145
537,78,45-64,M,263
538,78,18-24,M,263
539,78,45-64,F,48
540,78,25-44,M,655
541,78,<18,M,187
542,78,909,M,1
543,78,<18,F,34
544,79,18-24,M,1556
545,79,<18,M,462
546,79,45-64,M,1620
547,79,<18,F,82
548,79,65+,M,68
549,79,25-44,M,3216
550,79,65+,F,10
551,79,18-24,F,273
552,79,45-64,F,300
553,79,25-44,F,660
554,81,65+,M,30
555,81,45-64,M,835
556,81,<18,M,369
557,81,18-24,M,1062
558,81,18-24,F,175
559,81,45-64,F,178
560,81,808,M,1
561,81,25-44,M,1763
562,81,65+,F,1
563,81,<18,F,81
564,81,25-44,F,345
565,83,936,F,1
566,83,<18,M,544
567,83,922,F,1
568,83,65+,F,1
569,83,25-44,M,2852
570,83,25-44,F,643
571,83,45-64,M,981
572,83,65+,M,21
573,83,18-24,M,1559
574,83,18-24,F,251
575,83,<18,F,107
576,83,45-64,F,186
577,84,18-24,M,750
578,84,25-44,M,1584
579,84,45-64,F,133
580,84,<18,F,131
581,84,65+,M,15
582,84,45-64,M,601
583,84,65+,F,4
584,84,18-24,F,210
585,84,25-44,F,428
586,84,<18,M,318
587,88,<18,M,275
588,88,25-44,M,1121
589,88,25-44,F,346
590,88,45-64,M,547
591,88,<18,F,43
592,88,18-24,F,139
593,88,65+,M,9
594,88,65+,F,3
595,88,45-64,F,130
596,88,18-24,M,532
597,90,45-64,M,466
598,90,<18,M,368
599,90,18-24,M,892
600,90,25-44,F,214
601,90,<18,F,42
602,90,45-64,F,64
603,90,65+,M,19
604,90,65+,F,1
605,90,25-44,M,1515
606,90,18-24,F,111
607,94,25-44,F,57
608,94,18-24,M,294
609,94,25-44,M,605
610,94,<18,F,14
611,94,945,M,1
612,94,45-64,M,220
613,94,<18,M,158
614,94,65+,F,1
615,94,45-64,F,12
616,94,65+,M,10
617,94,18-24,F,23
618,100,65+,M,12
619,100,65+,F,2
620,100,<18,M,253
621,100,18-24,F,77
622,100,<18,F,64
623,100,45-64,M,221
624,100,45-64,F,49
625,100,18-24,M,404
626,100,25-44,M,550
627,100,25-44,F,124
628,101,<18,M,392
629,101,<18,F,66
630,101,18-24,M,1059
631,101,65+,M,18
632,101,45-64,F,70
633,101,25-44,F,237
634,101,65+,F,2
635,101,18-24,F,133
636,101,45-64,M,335
637,101,25-44,M,1325
638,102,25-44,M,1752
639,102,65+,M,15
640,102,45-64,M,449
641,102,25-44,F,264
642,102,<18,M,438
643,102,18-24,F,142
644,102,<18,F,56
645,102,45-64,F,79
646,102,936,M,1
647,102,18-24,M,1187
648,103,<18,F,173
649,103,25-44,F,448
650,103,<18,M,537
651,103,25-44,M,2798
652,103,45-64,M,908
653,103,65+,F,3
654,103,45-64,F,159
655,103,18-24,F,271
656,103,18-24,M,1839
657,103,65+,M,23
658,104,25-44,M,1389
659,104,25-44,F,208
660,104,<18,M,375
661,104,65+,M,22
662,104,18-24,M,855
663,104,18-24,F,123
664,104,<18,F,60
665,104,45-64,F,93
666,104,45-64,M,417
667,104,65+,F,2
668,105,18-24,M,1187
669,105,45-64,F,89
670,105,<18,M,396
671,105,65+,F,4
672,105,18-24,F,183
673,105,<18,F,85
674,105,25-44,M,1682
675,105,25-44,F,340
676,105,45-64,M,491
677,105,65+,M,18
678,106,18-24,F,110
679,106,65+,F,2
680,106,45-64,M,450
