,SchoolDist,OfnsDesc,CrimeCount
240,5,SEX CRIMES,53
241,5,"LOITERING/GAMBLING (CARDS, DICE, ETC)",2
242,5,HARASSMENT,66
243,5,FORGERY,153
244,5,ESCAPE 3,2
245,5,POSSESSION OF STOLEN PROPERTY 5,647
246,5,GRAND LARCENY OF MOTOR VEHICLE,10
247,5,OTHER STATE LAWS (NON PENAL LA,150
248,5,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,225
249,5,ALCOHOLIC BEVERAGE CONTROL LAW,18
250,5,DANGEROUS WEAPONS,612
251,5,OFFENSES AGAINST PUBLIC ADMINISTRATION,563
252,5,MISCELLANEOUS PENAL LAW,460
253,5,OTHER STATE LAWS (NON PENAL LAW),465
254,5,F.C.A. P.I.N.O.S.,10
255,5,FORCIBLE TOUCHING,13
256,5,CRIMINAL MISCHIEF & RELATED OFFENSES,238
257,5,GRAND LARCENY,144
258,5,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),32
259,5,HARRASSMENT 2,13
260,5,OTHER OFFENSES RELATED TO THEFT,1418
261,5,RAPE,15
262,5,INTOXICATED/IMPAIRED DRIVING,9
263,5,LOITERING FOR DRUG PURPOSES,13
264,5,OTHER STATE LAWS,1314
265,6,HARASSMENT,68
266,6,MOVING INFRACTIONS,16
267,6,FORGERY,196
268,6,ALCOHOLIC BEVERAGE CONTROL LAW,31
269,6,BURGLARY,116
270,6,GRAND LARCENY OF MOTOR VEHICLE,14
271,6,RAPE,13
272,6,POSSESSION OF STOLEN PROPERTY,34
273,6,GAMBLING,92
274,6,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),31
275,6,OFFENSES AGAINST PUBLIC SAFETY,14
276,6,MURDER & NON-NEGL. MANSLAUGHTER,36
277,6,SEX CRIMES,40
278,6,F.C.A. P.I.N.O.S.,30
279,6,HARRASSMENT 2,9
280,6,DISORDERLY CONDUCT,146
281,6,FRAUDS,57
282,6,OFFENSES AGAINST THE PERSON,85
283,6,INTOXICATED/IMPAIRED DRIVING,20
284,6,PETIT LARCENY,252
285,6,PROSTITUTION & RELATED OFFENSES,43
286,6,POSSESSION OF STOLEN PROPERTY 5,230
287,6,CRIMINAL MISCHIEF & RELATED OFFENSES,280
288,6,FORCIBLE TOUCHING,22
289,6,GRAND LARCENY,224
290,6,BURGLAR'S TOOLS,6
291,6,THEFT-FRAUD,23
292,6,INTOXICATED & IMPAIRED DRIVING,217
